星遺物の導き,セイイブツノミチビキ
TGX3-DX2,ティージーエックススリー-ディーエックスツー
TG-SX1,ティージー-エスエックスワン
TG1-EM1,ティージーワン-イーエムワン
機械王-B.C.3000,キカイオウ-ビー.シー.サンゼン
DNA定期健診,ディーエヌエーテイキケンシン
ブルーサンダーT45,ブルーサンダーティーフォーティーファイブ
摩天楼2-ヒーローシティ,マテンロウツー-ヒーローシティ
魅惑の女王 LV3,アリュール・クイーン レベルスリー
魅惑の女王 LV5,アリュール・クイーン レベルファイブ
魅惑の女王 LV7,アリュール・クイーン レベルセブン
漆黒の魔王 LV4,ダーク・ルシアス レベルフォー
漆黒の魔王 LV6,ダーク・ルシアス レベルシックス
漆黒の魔王 LV8,ダーク・ルシアス レベルエイト
サイバー・オーガ・2,サイバー・オーガ・ツー
磁力の召喚円 LV2,マグネットサークス レベルツー
成功確率0%,セイコウカクリツゼロパーセント
レベル制限A地区,レベルセイゲンエーチク
ハネクリボー LV10,ハネクリボー レベルテン
アルティメット・インセクト LV7,アルティメット・インセクト レベルセブン
アルティメット・インセクト LV5,アルティメット・インセクト レベルファイブ
サイレント・ソードマン LV5,サイレント・ソードマン レベルファイブ
アルティメット・インセクト LV3,アルティメット・インセクト レベルスリー
ミスティック・ソードマン LV6,ミスティック・ソードマン レベルシックス
サイレント・ソードマン LV3,サイレント・ソードマン レベルスリー
トラップ処理班 Aチーム,トラップショリハン エーチーム
アルティメット・インセクト LV1,アルティメット・インセクト レベルワン
ホルスの黒炎竜 LV4,ホルスノコクエンリュウ レベルフォー
ホルスの黒炎竜 LV6,ホルスノコクエンリュウ レベルシックス
ホルスの黒炎竜 LV8,ホルスノコクエンリュウ レベルエイト
暗黒のミミック LV1,アンコクノミミック レベルワン
暗黒のミミック LV3,アンコクノミミック レベルスリー
ミスティック・ソードマン LV2,ミスティック・ソードマン レベルツー
ミスティック・ソードマン LV4,ミスティック・ソードマン レベルフォー
アームド・ドラゴン LV3,アームド・ドラゴン レベルスリー
アームド・ドラゴン LV5,アームド・ドラゴン レベルファイブ
アームド・ドラゴン LV7,アームド・ドラゴン レベルセブン
KA-2 デス・シザース,ケーエー-ツー デス・シザース
水陸両用バグロス Mk-3,スイリクリョウヨウバグロス マーク-スリー
DNA移植手術,ディーエヌエーイショクシュジュツ
鬼タンクT-34,オニタンクティー-サンジュウヨン
死の4つ星てんとう虫,シノヨツボシテントウムシ
DNA改造手術,ディーエヌエーカイゾウシュジュツ
スロットマシーンAM-7,スロットマシーンエーエム-セブン
TM-1ランチャースパイダー,ティーエム-ワンランチャースパイダー
バーバリアン1号,バーバリアンイチゴウ
バーバリアン2号,バーバリアンニゴウ
人造人間7号,ジンゾウニンゲンナナゴウ
マグネッツ1号,マグネッツイチゴウ
マグネッツ2号,マグネッツニゴウ
No.39 希望皇ホープ,ナンバーズサンジュウキュウ キボウオウホープ
サイレント・ソードマン LV7,サイレント・ソードマン レベルセブン
アームド・ドラゴン LV10,アームド・ドラゴン レベルテン
D・D・R,ディー・ディー・アール
サイレント・マジシャン LV4,サイレント・マジシャン レベルフォー
サイレント・マジシャン LV8,サイレント・マジシャン レベルエイト
No.73 激瀧神アビス・スプラッシュ,ナンバーズナナジュウサン ゲキロウシンアビス・スプラッシュ
No.94 極氷姫クリスタル・ゼロ,ナンバーズキュウジュウヨン キョクヒョウキクリスタル・ゼロ
No.56 ゴールドラット,ナンバーズゴジュウロク ゴールドラット
No.61 ヴォルカザウルス,ナンバーズロクジュウイチ ヴォルカザウルス
No.19 フリーザードン,ナンバーズジュウキュウ フリーザードン
ヒーローズルール2,ヒーローズルールツー
3万年の白亀,サンマンネンノシロカメ
13人目の埋葬者,ジュウサンニンメノマイソウシャ
No.68 魔天牢サンダルフォン,ナンバーズロクジュウハチ マテンロウサンダルフォン
No.71 リバリアン・シャーク,ナンバーズナナジュウイチ リバリアン・シャーク
No.89 電脳獣ディアブロシス,ナンバーズハチジュウキュウ デンノウジュウディアブロシス
No.100 ヌメロン・ドラゴン,ナンバーズヒャク ヌメロン・ドラゴン
No.24 竜血鬼ドラギュラス,ナンバーズニジュウヨン リュウケツキドラギュラス
No.45 滅亡の予言者 クランブル・ロゴス,ナンバーズヨンジュウゴ メツボウノヨゲンシャ クランブル・ロゴス
No.51 怪腕のフィニッシュ・ホールド,ナンバーズゴジュウイチ カイワンノフィニッシュ・ホールド
No.59 背反の料理人,ナンバーズゴジュウキュウ バック・ザ・コック
No.78 ナンバーズ・アーカイブ,ナンバーズナナジュウハチ ナンバーズ・アーカイブ
No.98 絶望皇ホープレス,ナンバーズキュウジュウハチ ゼツボウオウホープレス
CNo.73 激瀧瀑神アビス・スープラ,カオスナンバーズナナジュウサン ゲキロウバクシンアビス・スープラ
CNo.5 亡朧龍 カオス・キマイラ・ドラゴン,カオスナンバーズゴ モウロウリュウ カオス・キマイラ・ドラゴン
No.106 巨岩掌ジャイアント・ハンド,ナンバーズヒャクロク キョガンショウジャイアント・ハンド
No.54 反骨の闘士ライオンハート,ナンバーズゴジュウヨン ハンコツノトウシライオンハート
No.15 ギミック・パペット-ジャイアントキラー,ナンバーズジュウゴ ギミック・パペット-ジャイアントキラー
No.44 白天馬スカイ・ペガサス,ナンバーズヨンジュウヨン ハクテンマスカイ・ペガサス
No.49 秘鳥フォーチュンチュン,ナンバーズヨンジュウキュウ ヒチョウフォーチュンチュン
No.57 奮迅竜トレスラグーン,ナンバーズゴジュウナナ フンジンリュウトレスラグーン
No.63 おしゃもじソルジャー,ナンバーズロクジュウサン オシゃもじソルジャー
No.74 マジカル・クラウン-ミッシング・ソード,ナンバーズナナジュウヨン マジカル・クラウン-ミッシング・ソード
No.85 クレイジー・ボックス,ナンバーズハチジュウゴ クレイジー・ボックス
No.87 雪月花美神クイーン・オブ・ナイツ,ナンバーズハチジュウナナ セツゲッカビシンクイーン・オブ・ナイツ
SNo.39 希望皇ホープONE,シャイニングナンバーズサンジュウキュウ キボウオウホープワン
No.91 サンダー・スパーク・ドラゴン,ナンバーズキュウジュウイチ サンダー・スパーク・ドラゴン
No.7 ラッキー・ストライプ,ナンバーズナナ ラッキー・ストライプ
2人3脚ゾンビ,ニニンサンキャクゾンビ
No.28 タイタニック・モス,ナンバーズニジュウハチ タイタニック・モス
No.70 デッドリー・シン,ナンバーズナナジュウ デッドリー・シン
No.37 希望織竜スパイダー・シャーク,ナンバーズサンジュウナナ キボウシキリュウスパイダー・シャーク
No.38 希望魁竜タイタニック・ギャラクシー,ナンバーズサンジュウハチ キボウカイリュウタイタニック・ギャラクシー
No.35 ラベノス・タランチュラ,ナンバーズサンジュウゴ ラベノス・タランチュラ
No.84 ペイン・ゲイナー,ナンバーズハチジュウヨン ペイン・ゲイナー
No.77 ザ・セブン・シンズ,ナンバーズナナジュウナナ ザ・セブン・シンズ
CNo.6 先史遺産カオス・アトランタル,カオスナンバーズロク オーパーツカオス・アトランタル
CNo.15 ギミック・パペット-シリアルキラー,カオスナンバーズジュウゴ ギミック・パペット-シリアルキラー
CNo.40 ギミック・パペット-デビルズ・ストリングス,カオスナンバーズヨンジュウ ギミック・パペット-デビルズ・ストリングス
CNo.88 ギミック・パペット-ディザスター・レオ,カオスナンバーズハチジュウハチ ギミック・パペット-ディザスター・レオ
CNo.9 天蓋妖星カオス・ダイソン・スフィア,カオスナンバーズキュウ テンガイヨウセイカオス・ダイソン・スフィア
No.13 ケインズ・デビル,ナンバーズジュウサン ケインズ・デビル
No.31 アベルズ・デビル,ナンバーズサンジュウイチ アベルズ・デビル
No.82 ハートランドラコ,ナンバーズハチジュウニ ハートランドラコ
CNo.39 希望皇ホープレイV,カオスナンバーズサンジュウキュウ キボウオウホープレイブイ
No.30 破滅のアシッド・ゴーレム,ナンバーズサンジュウ ハメツノアシッド・ゴーレム
No.6 先史遺産アトランタル,ナンバーズロク オーパーツアトランタル
FNo.0 未来皇ホープ-フューチャー・スラッシュ,フューチャーナンバーズゼロ ミライオウホープ-フューチャー・スラッシュ
No.93 希望皇ホープ・カイザー,ナンバーズキュウジュウサン キボウオウホープ・カイザー
No.48 シャドー・リッチ,ナンバーズヨンジュウハチ シャドー・リッチ
No.69 紋章神コート・オブ・アームズ,ナンバーズロクジュウキュウ ゴッド・メダリオンコート・オブ・アームズ
No.88 ギミック・パペット-デステニー・レオ,ナンバーズハチジュウハチ ギミック・パペット-デステニー・レオ
No.16 色の支配者ショック・ルーラー,ナンバーズジュウロク イロノシハイシャショック・ルーラー
No.11 ビッグ・アイ,ナンバーズジュウイチ ビッグ・アイ
No.30 破滅のアシッド・ゴーレム,ナンバーズサンジュウ ハメツノアシッド・ゴーレム
No.6 先史遺産アトランタル,ナンバーズロク オーパーツアトランタル
No.42 スターシップ・ギャラクシー・トマホーク,ナンバーズヨンジュウニ スターシップ・ギャラクシー・トマホーク
No.58 炎圧鬼バーナー・バイサー,ナンバーズゴジュウハチ エンアッキバーナー・バイサー
EMゴールド・ファング,エンタメイトゴールド・ファング
SNo.39 希望皇ホープ・ザ・ライトニング,シャイニングナンバーズサンジュウキュウ キボウオウホープ・ザ・ライトニング
No.23 冥界の霊騎士ランスロット,ナンバーズニジュウサン メイカイノレイキシランスロット
No.52 ダイヤモンド・クラブ・キング,ナンバーズゴジュウニ ダイヤモンド・クラブ・キング
No.72 ラインモンスター チャリオッツ・飛車,ナンバーズナナジュウニ ラインモンスター チャリオッツ・ヒシャ
No.47 ナイトメア・シャーク,ナンバーズヨンジュウナナ ナイトメア・シャーク
No.22 不乱健,ナンバーズニジュウニ フランケン
No.50 ブラック・コーン号,ナンバーズゴジュウ ブラック・コーンゴウ
ハネクリボー LV9,ハネクリボー レベルナイン
No.99 希望皇龍ホープドラグーン,ナンバーズキュウジュウキュウ キボウオウリュウホープドラグーン
CNo.106 溶岩掌ジャイアント・ハンド・レッド,カオスナンバーズヒャクロク ヨウガンショウジャイアント・ハンド・レッド
No.40 ギミック・パペット-ヘブンズ・ストリングス,ナンバーズヨンジュウ ギミック・パペット-ヘブンズ・ストリングス
DDD超死偉王パープリッシュ・ヘル・アーマゲドン,ディーディーディーチョウシイオウパープリッシュ・ヘル・アーマゲドン
No.39 希望皇ビヨンド・ザ・ホープ,ナンバーズサンジュウキュウ キボウオウビヨンド・ザ・ホープ
No.95 ギャラクシーアイズ・ダークマター・ドラゴン,ナンバーズキュウジュウゴ ギャラクシーアイズ・ダークマター・ドラゴン
ギアギアーノ Mk-III,ギアギアーノ マークスリー
No.41 泥睡魔獣バグースカ,ナンバーズヨンジュウイチ デイスイマジュウバグースカ
